index,MAPE_h1,MAPE_h2,MAPE_h3,MAPE_h4,MAPE_h5,MAPE_h6,MAPE_h7,MAPE_avg,MAE_h1,MAE_h2,MAE_h3,MAE_h4,MAE_h5,MAE_h6,MAE_h7,MAE_avg,RMSE_h1,RMSE_h2,RMSE_h3,RMSE_h4,RMSE_h5,RMSE_h6,RMSE_h7,RMSE_avg,MSE_h1,MSE_h2,MSE_h3,MSE_h4,MSE_h5,MSE_h6,MSE_h7,MSE_avg,BDS_pval_h1
Fold 1,0.2231999933719635,0.257099986076355,0.27379998564720154,0.30320000648498535,0.34459999203681946,0.36500000953674316,0.39969998598098755,0.3095000088214874,0.0008329999982379377,0.0009580000187270343,0.0010460000485181808,0.0011630000080913305,0.001307999948039651,0.001408000010997057,0.0015350000467151403,0.0011790000135079026,0.0015040000434964895,0.0017290000105276704,0.001927000004798174,0.0021830000914633274,0.002428000094369054,0.0026839999482035637,0.0029090000316500664,0.002194999950006604,2.261180497953319e-06,2.9892642032791628e-06,3.713125124704675e-06,4.764788172906265e-06,5.8938198890245985e-06,7.206268037407426e-06,8.459387572656851e-06,5.041119038651232e-06,0.0995
Fold 2,0.24130000174045563,0.2648000121116638,0.28360000252723694,0.3386000096797943,0.3458999991416931,0.3928000032901764,0.42820000648498535,0.3278999924659729,0.00092299998505041,0.0010089999996125698,0.0011060000397264957,0.0012580000329762697,0.0013559999642893672,0.0014959999825805426,0.0016380000161007047,0.0012550000101327896,0.0016469999682158232,0.0018400000408291817,0.0020830000285059214,0.0024510000366717577,0.002698000054806471,0.002822000067681074,0.0032079999800771475,0.0023930000606924295,2.712493369472213e-06,3.3859769246191718e-06,4.340340638009366e-06,6.007880074321292e-06,7.280111731233774e-06,7.964891665324103e-06,1.0290420505043585e-05,5.997444986860501e-06,0.0559
Fold 3,0.301800012588501,0.33390000462532043,0.33660000562667847,0.3682999908924103,0.39660000801086426,0.4187000095844269,0.46380001306533813,0.3741999864578247,0.0010430000256747007,0.0011699999449774623,0.0012860000133514404,0.0013940000208094716,0.0014979999978095293,0.0016060000052675605,0.001756999990902841,0.0013930000131949782,0.0016070000128820539,0.001892999978736043,0.00215000007301569,0.0023670000955462456,0.0025919999461621046,0.0028719999827444553,0.0031330001074820757,0.002372999908402562,2.5817062123678625e-06,3.582586714401259e-06,4.6243785618571565e-06,5.6048966143862344e-06,6.717600172123639e-06,8.248371159425005e-06,9.816275451157708e-06,5.882259301870363e-06,0.0674
Fold 4,0.24410000443458557,0.2928999960422516,0.3021000027656555,0.3255999982357025,0.3449999988079071,0.3896999955177307,0.4083999991416931,0.3296999931335449,0.0010900000343099236,0.0012540000025182962,0.0013010000111535192,0.0013670000480487943,0.0014359999913722277,0.0016449999529868364,0.0016820000018924475,0.0013960000360384583,0.0018550000386312604,0.0020959998946636915,0.002380999969318509,0.0024309998843818903,0.0027409999165683985,0.002976000076159835,0.003066000062972307,0.002506999997422099,3.439566626184387e-06,4.39139057561988e-06,5.670508016919484e-06,5.910437721468043e-06,7.513656328228535e-06,8.85621557245031e-06,9.401050192536786e-06,6.4546889007033315e-06,0.0
Fold 5,0.34369999170303345,0.3222000002861023,0.32249999046325684,0.4074999988079071,0.43560001254081726,0.4521999955177307,0.47519999742507935,0.39419999718666077,0.0013330000219866633,0.0013269999762997031,0.0013020000187680125,0.0015910000074654818,0.0017180000431835651,0.0016550000291317701,0.0018319999799132347,0.0015369999455288053,0.0021730000153183937,0.0024530000519007444,0.002374999923631549,0.0026839999482035637,0.0028890001121908426,0.0028880001045763493,0.0032059999648481607,0.00266700005158782,4.723391157313017e-06,6.01556848778273e-06,5.641606549033895e-06,7.201271273515886e-06,8.347405128006358e-06,8.341003194800578e-06,1.0278232366545126e-05,7.221211944852257e-06,0.0
Mean,0.2708199918270111,0.2941800057888031,0.30371999740600586,0.3486400246620178,0.3735400140285492,0.4036799967288971,0.43505996465682983,0.34709998965263367,0.0010444000363349915,0.001143599976785481,0.0012082000030204654,0.0013545999536290765,0.0014631998492404819,0.0015620000194758177,0.0016888000536710024,0.0013519999338313937,0.0017572001088410616,0.002002200111746788,0.002183200092986226,0.0024232000578194857,0.002669600071385503,0.002848400268703699,0.0031043998897075653,0.0024270000867545605,3.1436675726581596e-06,4.072957381140441e-06,4.797991778104915e-06,5.897854771319544e-06,7.150518649723381e-06,8.123349925881484e-06,9.64907321758801e-06,6.119344834587537e-06,0.04456
Std,0.05030980706214905,0.03392104431986809,0.026155441999435425,0.040458161383867264,0.04122873395681381,0.03312758356332779,0.03333674371242523,0.035489361733198166,0.00019026246445719153,0.00015738898946437985,0.00012269553553778678,0.0001609605533303693,0.0001600412797415629,0.00010670753545127809,0.00011340058699715883,0.00013890642730984837,0.00026517390506342053,0.0002849959710147232,0.00019537960179150105,0.00018007270409725606,0.0001720706350170076,0.00010739092249423265,0.00012402537686284631,0.0001745680783642456,9.82799325239641e-07,1.2002014469641998e-06,8.499253260244634e-07,8.77613649946036e-07,9.148648487087085e-07,6.054427142047936e-07,7.602617180064686e-07,8.000323057671388e-07,0.04370312345816944
