horizonte_h,lag_15min,lag_30min,lag_60min,lag_90min
1,0.27083298563957214,0.3962090015411377,0.6157320141792297,0.8589019775390625
2,0.2941940128803253,0.41078799962997437,0.6261739730834961,0.9286929965019226
3,0.30372700095176697,0.43497100472450256,0.6302819848060608,0.8915339708328247
4,0.3486210107803345,0.48079800605773926,0.6526229977607727,0.9246709942817688
5,0.373539000749588,0.5040249824523926,0.6798809766769409,0.939096987247467
6,0.4036779999732971,0.5377730131149292,0.7089409828186035,0.940185010433197
7,0.4350599944591522,0.5605059862136841,0.7046589851379395,0.9618480205535889
