index,MAPE_h1,MAPE_h2,MAPE_h3,MAPE_h4,MAPE_h5,MAPE_h6,MAPE_h7,MAPE_avg,MAE_h1,MAE_h2,MAE_h3,MAE_h4,MAE_h5,MAE_h6,MAE_h7,MAE_avg,RMSE_h1,RMSE_h2,RMSE_h3,RMSE_h4,RMSE_h5,RMSE_h6,RMSE_h7,RMSE_avg,MSE_h1,MSE_h2,MSE_h3,MSE_h4,MSE_h5,MSE_h6,MSE_h7,MSE_avg,BDS_pval_h1
Fold 1,0.3386000096797943,0.3564000129699707,0.36660000681877136,0.4474000036716461,0.4636000096797943,0.4593999981880188,0.5365999937057495,0.42410001158714294,0.0013460000045597553,0.0013810000382363796,0.0014440000522881746,0.001744000008329749,0.0018050000071525574,0.0018210000125691295,0.002061000093817711,0.0016580000519752502,0.0022589999716728926,0.002406999934464693,0.002558999927714467,0.0029700000304728746,0.003097000066190958,0.003237999975681305,0.0035490000154823065,0.0028689999599009752,5.104823685542215e-06,5.792343017674284e-06,6.550312718900386e-06,8.822096788208e-06,9.590355148247909e-06,1.0483328878763132e-05,1.2598636203620117e-05,8.4202711150283e-06,0.0924
Fold 2,0.40959998965263367,0.4456999897956848,0.4498000144958496,0.4821000099182129,0.5598999857902527,0.5266000032424927,0.5544999837875366,0.48969998955726624,0.0016270000487565994,0.001626000041142106,0.0017810000572353601,0.001829999964684248,0.00216299993917346,0.002111000008881092,0.0022090000566095114,0.0019069999689236283,0.0025279999244958162,0.002689999993890524,0.002919000107795,0.0031689999159425497,0.003375000087544322,0.0035749999806284904,0.003746999893337488,0.0031429999507963657,6.388289421010995e-06,7.237548743432853e-06,8.518515642208513e-06,1.0040265806310344e-05,1.1390701729396824e-05,1.2780135875800624e-05,1.4042901966604404e-05,1.0056908649858087e-05,0.1795
Fold 3,0.4401000142097473,0.45820000767707825,0.47999998927116394,0.5710999965667725,0.5406000018119812,0.6647999882698059,0.6360999941825867,0.5415999889373779,0.0017470000311732292,0.0018619999755173922,0.0019460000330582261,0.002222999930381775,0.0020749999675899744,0.002420000033453107,0.0023900000378489494,0.002094999887049198,0.0027600000612437725,0.00291300006210804,0.0030360000673681498,0.003378000110387802,0.0033100000582635403,0.0037320000119507313,0.003776000114157796,0.003272000001743436,7.618096788064577e-06,8.484226782456972e-06,9.218225386575796e-06,1.1409292710595764e-05,1.0958431630569976e-05,1.393149341311073e-05,1.4256907888920978e-05,1.0839524293260183e-05,0.111
Fold 4,0.4447999894618988,0.4056999981403351,0.4846999943256378,0.4814000129699707,0.5044000148773193,0.5097000002861023,0.5458999872207642,0.48240000009536743,0.0017140000127255917,0.00164899998344481,0.001914000022225082,0.0019920000340789557,0.002013999968767166,0.0021019999403506517,0.0022319999989122152,0.0019450000254437327,0.00253499997779727,0.002686999971047044,0.0030580000020563602,0.003295999951660633,0.0032579998951405287,0.003496000077575445,0.003792000003159046,0.003160000080242753,6.425094852602342e-06,7.2187790465250146e-06,9.352611414215062e-06,1.0866171578527428e-05,1.0616060535539873e-05,1.2219228665344417e-05,1.4377332263393328e-05,1.0153611583518796e-05,0.0771
Fold 5,0.3479999899864197,0.3880000114440918,0.3937000036239624,0.4219000041484833,0.45159998536109924,0.5282999873161316,0.5295000076293945,0.4372999966144562,0.0013040000339969993,0.001446999958716333,0.0014809999847784638,0.0016169999726116657,0.0017209999496117234,0.0018860000418499112,0.001955999992787838,0.0016299999551847577,0.0023070001043379307,0.002481000032275915,0.0025369999930262566,0.00292299990542233,0.0030139998998492956,0.0032569998875260353,0.0034229999873787165,0.0028490000404417515,5.324284757080022e-06,6.153679805720458e-06,6.433920589188347e-06,8.542831892555114e-06,9.081435564439744e-06,1.0610510798869655e-05,1.1719723261194304e-05,8.266626537078992e-06,0.3658
Mean,0.39622002840042114,0.4107999801635742,0.4349599778652191,0.4807799756526947,0.5040200352668762,0.5377600193023682,0.5605199933052063,0.47501999139785767,0.001547600026242435,0.0015929999062791467,0.0017132001230493188,0.0018812001217156649,0.0019555999897420406,0.002067999914288521,0.00216960022225976,0.0018470000941306353,0.0024778000079095364,0.002635600045323372,0.002821799833327532,0.0031472002156078815,0.0032107997685670853,0.003459600266069174,0.003657399909570813,0.0030586000066250563,6.1721179008600305e-06,6.977315479161916e-06,8.01471715021762e-06,9.93613175523933e-06,1.0327396921638865e-05,1.2004939526377711e-05,1.3399100316746626e-05,9.547388435748871e-06,0.16516
Std,0.05027357116341591,0.0417432002723217,0.05267440155148506,0.056437812745571136,0.04701714590191841,0.0762903168797493,0.04329182207584381,0.04668647050857544,0.00020840897923335433,0.00018897486734203994,0.00023743357451166958,0.00023470768064726144,0.00018601020565256476,0.0002350755239604041,0.00016691404744051397,0.0001984426489798352,0.00020154082449153066,0.00019919290207326412,0.0002555850660428405,0.00019846338545903563,0.00015059120778460056,0.00021154034766368568,0.00016348181816283613,0.0001889611012302339,1.0074125753906978e-06,1.0582229371976216e-06,1.4261490247319044e-06,1.2478360858908164e-06,9.627822806097068e-07,1.4678376555973076e-06,1.1798625161219468e-06,1.1409948426151262e-06,0.11878965864080931
