index,MAPE_h1,MAPE_h2,MAPE_h3,MAPE_h4,MAPE_h5,MAPE_h6,MAPE_h7,MAPE_avg,MAE_h1,MAE_h2,MAE_h3,MAE_h4,MAE_h5,MAE_h6,MAE_h7,MAE_avg,RMSE_h1,RMSE_h2,RMSE_h3,RMSE_h4,RMSE_h5,RMSE_h6,RMSE_h7,RMSE_avg,MSE_h1,MSE_h2,MSE_h3,MSE_h4,MSE_h5,MSE_h6,MSE_h7,MSE_avg,BDS_pval_h1
Fold 1,0.6302000284194946,0.646399974822998,0.6396999955177307,0.6502000093460083,0.7110000252723694,0.6972000002861023,0.70169997215271,0.6680999994277954,0.0023240000009536743,0.0023499999660998583,0.002383999992161989,0.0024709999561309814,0.002592999953776598,0.0026650000363588333,0.0026839999482035637,0.002495999913662672,0.003898999886587262,0.003967000171542168,0.0038920000661164522,0.0042570000514388084,0.004170000087469816,0.004393999930471182,0.004585999995470047,0.0041669998317956924,1.520608930150047e-05,1.5738849469926208e-05,1.5150482795434073e-05,1.8121507309842855e-05,1.7387983461958356e-05,1.9304672605358064e-05,2.103185761370696e-05,1.7420205040252768e-05,0.4854
Fold 2,0.5830000042915344,0.6348000168800354,0.6190999746322632,0.6915000081062317,0.6610999703407288,0.7124999761581421,0.6722999811172485,0.6535000205039978,0.0022690000478178263,0.0023479999508708715,0.002389000030234456,0.0026130001060664654,0.002517000073567033,0.0026569999754428864,0.002644000109285116,0.002491000108420849,0.0039450000040233135,0.004275000188499689,0.00418699998408556,0.004441000055521727,0.004298999905586243,0.004370999988168478,0.00459699984639883,0.0043020001612603664,1.5560952306259423e-05,1.827685446187388e-05,1.7531929188407958e-05,1.9718772819032893e-05,1.8479930076864548e-05,1.910543505800888e-05,2.1129748347448185e-05,1.8543374608270824e-05,0.4856
Fold 3,0.609000027179718,0.6166999936103821,0.6236000061035156,0.6438000202178955,0.6638000011444092,0.7156999707221985,0.7117000222206116,0.6549000144004822,0.002331000054255128,0.0023620000574737787,0.002391000045463443,0.0024709999561309814,0.00254100002348423,0.002750999992713332,0.0027230000123381615,0.0025100000202655792,0.003880999982357025,0.003965999931097031,0.004197999835014343,0.004197999835014343,0.004286999814212322,0.004666000138968229,0.004637999925762415,0.004261999856680632,1.5063433238537982e-05,1.5730300219729543e-05,1.7626542103243992e-05,1.7621085135033354e-05,1.8378239474259317e-05,2.1769074010080658e-05,2.151519584003836e-05,1.824341234168969e-05,0.475
Fold 4,0.7084000110626221,0.6593000292778015,0.667900025844574,0.6643999814987183,0.7110000252723694,0.7577999830245972,0.7566999793052673,0.7035999894142151,0.002678999910131097,0.0026459998916834593,0.0025839998852461576,0.0026499999221414328,0.00292299990542233,0.0031399999279528856,0.003008000086992979,0.0028039999306201935,0.00419399980455637,0.004133000038564205,0.004228000063449144,0.004315999802201986,0.00469700014218688,0.00496899988502264,0.0049149999395012856,0.0044929999858140945,1.759303813742008e-05,1.708536183286924e-05,1.7879523511510342e-05,1.8631852071848698e-05,2.2066082237870432e-05,2.468727143423166e-05,2.4157108782674186e-05,2.0300034520914778e-05,0.1784
Fold 5,0.5480999946594238,0.5735999941825867,0.6011000275611877,0.613099992275238,0.652400016784668,0.6614999771118164,0.680899977684021,0.6187000274658203,0.002094999887049198,0.002234000014141202,0.0023139999248087406,0.002400000113993883,0.002518000081181526,0.0025690000038594007,0.002655999967828393,0.0023980000987648964,0.0036750000435858965,0.0038930000737309456,0.004027999937534332,0.0042420001700520515,0.0043680001981556416,0.004546999931335449,0.004769999999552965,0.004217999987304211,1.3506863069778774e-05,1.5158526366576552e-05,1.622384661459364e-05,1.7991440472542308e-05,1.9077317119808868e-05,2.0674509869422764e-05,2.2751875803805888e-05,1.7912052499013953e-05,0.5685
Mean,0.6157400012016296,0.6261600255966187,0.6302800178527832,0.6525999903678894,0.67985999584198,0.7089399099349976,0.7046600580215454,0.6597599983215332,0.0023395998869091272,0.0023880000226199627,0.0024123999755829573,0.0025210001040250063,0.002618399914354086,0.0027564000338315964,0.002743000164628029,0.002539800014346838,0.003918800037354231,0.004046800080686808,0.00410659983754158,0.004290799610316753,0.004364199936389923,0.004589399788528681,0.004701199941337109,0.004288400057703257,1.5386075210699347e-05,1.6397978470195085e-05,1.6882464842638e-05,1.841693156166002e-05,1.9077910474152303e-05,2.1108192595420405e-05,2.2117157277534717e-05,1.84838158020284e-05,0.43857999999999997
Std,0.06018196418881416,0.03329644724726677,0.025125131011009216,0.028704965487122536,0.02873723767697811,0.034763675183057785,0.0330839566886425,0.030578702688217163,0.00021232239669188857,0.00015329706366173923,0.00010116962221218273,0.00010576623026281595,0.00017304559878539294,0.0002239035238744691,0.0001512250310042873,0.00015418879047501832,0.0001855267328210175,0.0001549651933601126,0.00014299227041192353,9.398246766068041e-05,0.00019918264297302812,0.00024374226632062346,0.00014014886983204633,0.00012493722897488624,1.4636596597881694e-06,1.2668028340760837e-06,1.1622306868152082e-06,8.128147352491657e-07,1.7770863943352703e-06,2.2747731971403083e-06,1.330364525108117e-06,1.097516815043858e-06,0.15025166222042272
