horizonte_h,lag_15min,lag_30min,lag_60min,lag_90min
1,0.001756999990902841,0.002478000009432435,0.003918999806046486,0.005036999937146902
2,0.0020020001102238894,0.002635000040754676,0.004046999849379063,0.005319000221788883
3,0.0021830000914633274,0.002822000067681074,0.0041069998405873775,0.005332000087946653
4,0.002423000056296587,0.0031469999812543392,0.004290999844670296,0.005510999821126461
5,0.0026700000744313,0.0032110000029206276,0.004364000167697668,0.005545000080019236
6,0.0028490000404417515,0.0034600000362843275,0.0045889997854828835,0.005801999941468239
7,0.003103999886661768,0.003657999914139509,0.004701000172644854,0.005884999874979258
