index,MAPE_h1,MAPE_h2,MAPE_h3,MAPE_h4,MAPE_h5,MAPE_h6,MAPE_h7,MAPE_avg,MAE_h1,MAE_h2,MAE_h3,MAE_h4,MAE_h5,MAE_h6,MAE_h7,MAE_avg,RMSE_h1,RMSE_h2,RMSE_h3,RMSE_h4,RMSE_h5,RMSE_h6,RMSE_h7,RMSE_avg,MSE_h1,MSE_h2,MSE_h3,MSE_h4,MSE_h5,MSE_h6,MSE_h7,MSE_avg,BDS_pval_h1
Fold 1,0.7771999835968018,0.7820000052452087,0.782800018787384,0.8312000036239624,0.8511999845504761,0.8671000003814697,0.8817999958992004,0.8246999979019165,0.002882000058889389,0.002911000046879053,0.0029329999815672636,0.0031159999780356884,0.003203999949619174,0.0033009999897331,0.0033539999276399612,0.003100000089034438,0.004536000080406666,0.004827000200748444,0.004635999910533428,0.005005999933928251,0.00545400008559227,0.005359000060707331,0.005578999873250723,0.0050570000894367695,2.0573112124111503e-05,2.3301379769691266e-05,2.149455394828692e-05,2.505634074623231e-05,2.9742041078861803e-05,2.8721216949634254e-05,3.1122694053919986e-05,2.5715906303958036e-05,0.5774
Fold 2,0.843999981880188,0.8828999996185303,0.8618000149726868,0.9646000266075134,0.9884999990463257,0.9783999919891357,1.0335999727249146,0.9362000226974487,0.0031159999780356884,0.0032279998995363712,0.0032210000790655613,0.0035250000655651093,0.003533999901264906,0.0036430000327527523,0.0037479999009519815,0.0034310000482946634,0.005032999906688929,0.005266000051051378,0.005332999862730503,0.005501999985426664,0.005462000146508217,0.006161999888718128,0.006016999948769808,0.005539000034332275,2.533362749090884e-05,2.7728121494874358e-05,2.8440595997381024e-05,3.027201455552131e-05,2.983213016705122e-05,3.796592136495747e-05,3.6202829505782574e-05,3.082503462792374e-05,0.7769
Fold 3,0.7454000115394592,0.816100001335144,0.7990999817848206,0.8118000030517578,0.8140000104904175,0.836899995803833,0.8418999910354614,0.8093000054359436,0.002841999987140298,0.003097000066190958,0.003085999982431531,0.003134000115096569,0.0031620000954717398,0.0032709999941289425,0.0032679999712854624,0.003123000031337142,0.004790999926626682,0.004896000027656555,0.0049959998577833176,0.0051369997672736645,0.005282999947667122,0.005464000161737204,0.00534099992364645,0.005129000172019005,2.2953790903557092e-05,2.3973936549737118e-05,2.4955406843218952e-05,2.6385907403891906e-05,2.7905871320399456e-05,2.9850109058315866e-05,2.8521619242383167e-05,2.6363806682638824e-05,0.7702
Fold 4,1.0520000457763672,1.2228000164031982,1.051800012588501,1.1053999662399292,1.0080000162124634,1.0562000274658203,1.0846999883651733,1.0829999446868896,0.003476999932900071,0.003891000058501959,0.0036780000664293766,0.0037269999738782644,0.0035429999697953463,0.003746999893337488,0.003869999898597598,0.0037040000315755606,0.005319000221788883,0.005758000072091818,0.005762000102549791,0.006175000220537186,0.005350999999791384,0.005869999993592501,0.0059899999760091305,0.005745999980717897,2.829070763255004e-05,3.315033973194659e-05,3.3197240554727614e-05,3.8132995541673154e-05,2.8634582122322172e-05,3.4451491956133395e-05,3.5874767490895465e-05,3.3104584872489795e-05,0.6877
Fold 5,0.8758000135421753,0.9398000240325928,0.9621999859809875,0.9103999733924866,1.0336999893188477,0.9624999761581421,0.967199981212616,0.9502000212669373,0.003596999915316701,0.0038040000945329666,0.0038479999639093876,0.0036770000588148832,0.004002999980002642,0.0038850000128149986,0.003930999897420406,0.0038209999911487103,0.005506000015884638,0.005847000051289797,0.005934999790042639,0.005733999889343977,0.006175999995321035,0.006155000068247318,0.006496999878436327,0.00597799988463521,3.031445885426365e-05,3.4182874514954165e-05,3.522974293446168e-05,3.287308936705813e-05,3.814055526163429e-05,3.7883324694121256e-05,4.220895061735064e-05,3.58332836185582e-05,0.3637
Mean,0.8588800430297852,0.9287199974060059,0.8915400505065918,0.9246799349784851,0.9390799403190613,0.9402199983596802,0.9618399739265442,0.9206799268722534,0.003182800021022558,0.0033862001728266478,0.003353199688717723,0.003435799852013588,0.0034892000257968903,0.0035693994723260403,0.0036341999657452106,0.0034358003176748753,0.005036999937146902,0.005318799987435341,0.005332400090992451,0.005510800052434206,0.005545199848711491,0.005802000407129526,0.005884799640625715,0.005489799659699202,2.5493139401078224e-05,2.84673304122407e-05,2.8663508055615237e-05,3.054406952287536e-05,3.0851035990053785e-05,3.377441280463245e-05,3.478617218206636e-05,3.0368523221113718e-05,0.6351800000000001
Std,0.11974178999662399,0.17529639601707458,0.11394090205430984,0.11825569719076157,0.09938957542181015,0.08863836526870728,0.10132226347923279,0.11076746881008148,0.0003424918686505407,0.00043699509114958346,0.00039235278381966054,0.0002933797659352422,0.0003381163696758449,0.0002727834216784686,0.00030383249395526946,0.00032822962384670973,0.0003908382495865226,0.0004731032531708479,0.0005352151929400861,0.00047053355956450105,0.00036042017745785415,0.00037726841401308775,0.00044513054308481514,0.0003949337115045637,3.929119256488972e-06,5.0502991234893835e-06,5.6759091394627675e-06,5.255844955675312e-06,4.153064912781413e-06,4.354459936277486e-06,5.266765918190807e-06,4.3371258039597375e-06,0.1718380254774827
