horizonte_h,lag_15min,lag_30min,lag_60min,lag_90min
1,0.001044000033289194,0.0015480000292882323,0.0023399998899549246,0.003183000022545457
2,0.001142999972216785,0.0015930000226944685,0.0023880000226199627,0.0033859999384731054
3,0.0012080000014975667,0.0017130000051110983,0.00241199997253716,0.003352999920025468
4,0.0013549999566748738,0.0018810000037774444,0.0025210001040250063,0.0034360000863671303
5,0.001462999964132905,0.001955999992787838,0.002618999918922782,0.0034890000242739916
6,0.0015620000194758177,0.002067999914288521,0.002756000030785799,0.0035689999349415302
7,0.001689000055193901,0.0021699999924749136,0.002742999931797385,0.003633999964222312
