horizonte_h,lag_15min,lag_30min,lag_60min,lag_90min
1,3.000000106112566e-06,6.000000212225132e-06,1.4999999621068127e-05,2.499999936844688e-05
2,3.999999989900971e-06,7.000000096013537e-06,1.5999999959603883e-05,2.8000000384054147e-05
3,4.999999873689376e-06,7.999999979801942e-06,1.700000029813964e-05,2.9000000722589903e-05
4,6.000000212225132e-06,9.999999747378752e-06,1.8000000636675395e-05,3.099999958067201e-05
5,7.000000096013537e-06,9.999999747378752e-06,1.8999999156221747e-05,3.099999958067201e-05
6,7.999999979801942e-06,1.2000000424450263e-05,2.099999983329326e-05,3.400000059627928e-05
7,9.999999747378752e-06,1.2999999853491317e-05,2.2000000171829015e-05,3.5000000934815034e-05
